normalized_name,source,identifier,n_papers_total,years_active,annual_counts,annual_norm,mean_norm_freq,trend_slope,cas,cas_method
phusion high-fidelity dna polymerase,Thermo Fisher Scientific,Cat#F530L,24,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 3, ""2019"": 5, ""2020"": 1, ""2021"": 4, ""2022"": 2, ""2023"": 3, ""2024"": 2, ""2025"": 4}","{""2018"": 0.007916, ""2019"": 0.008489, ""2020"": 0.001531, ""2021"": 0.005355, ""2022"": 0.00312, ""2023"": 0.005226, ""2024"": 0.004598, ""2025"": 0.007313}",0.005443,-0.0001765,,not_found
tryple express enzyme,Thermo Fisher Scientific,Cat#12604013,22,"2018,2020,2021,2022,2023,2024,2025","{""2018"": 1, ""2020"": 1, ""2021"": 8, ""2022"": 2, ""2023"": 1, ""2024"": 4, ""2025"": 5}","{""2018"": 0.002639, ""2020"": 0.001531, ""2021"": 0.01071, ""2022"": 0.00312, ""2023"": 0.001742, ""2024"": 0.009195, ""2025"": 0.009141}",0.00544,0.00082246,,not_found
lipofectamine rnaimax reagent,Life Technologies,Cat# 13778150,7,"2017,2018,2019,2023,2025,2026","{""2017"": 2, ""2018"": 1, ""2019"": 1, ""2023"": 1, ""2025"": 1, ""2026"": 1}","{""2017"": 0.012346, ""2018"": 0.002639, ""2019"": 0.001698, ""2023"": 0.001742, ""2025"": 0.001828, ""2026"": 0.012346}",0.005433,1.317e-05,,not_found
poly-l-lysine solution,Sigma-Aldrich,Cat#P8920,13,"2019,2020,2022,2023,2025,2026","{""2019"": 3, ""2020"": 2, ""2022"": 2, ""2023"": 2, ""2025"": 3, ""2026"": 1}","{""2019"": 0.005093, ""2020"": 0.003063, ""2022"": 0.00312, ""2023"": 0.003484, ""2025"": 0.005484, ""2026"": 0.012346}",0.005432,0.00084318,13184-14-0,name
biotin-16-dutp,Roche,11093070910,10,"2017,2018,2019,2020,2021,2023,2026","{""2017"": 2, ""2018"": 2, ""2019"": 1, ""2020"": 1, ""2021"": 1, ""2023"": 2, ""2026"": 1}","{""2017"": 0.012346, ""2018"": 0.005277, ""2019"": 0.001698, ""2020"": 0.001531, ""2021"": 0.001339, ""2023"": 0.003484, ""2026"": 0.012346}",0.005432,0.00025731,86303-26-6,name
ecori,New England Biolabs,Cat# R0101S,16,"2017,2018,2020,2021,2022,2023,2025,2026","{""2017"": 1, ""2018"": 2, ""2020"": 3, ""2021"": 2, ""2022"": 1, ""2023"": 2, ""2025"": 4, ""2026"": 1}","{""2017"": 0.006173, ""2018"": 0.005277, ""2020"": 0.004594, ""2021"": 0.002677, ""2022"": 0.00156, ""2023"": 0.003484, ""2025"": 0.007313, ""2026"": 0.012346}",0.005428,0.00046684,,not_found
zymosan,Invivogen,Cat# tlrl-zyn,7,"2017,2021,2023,2025,2026","{""2017"": 1, ""2021"": 1, ""2023"": 1, ""2025"": 3, ""2026"": 1}","{""2017"": 0.006173, ""2021"": 0.001339, ""2023"": 0.001742, ""2025"": 0.005484, ""2026"": 0.012346}",0.005417,0.00047933,,not_found
actev protease,ThermoFisher,Cat# 12575015,11,"2018,2019,2020,2022","{""2018"": 4, ""2019"": 2, ""2020"": 3, ""2022"": 2}","{""2018"": 0.010554, ""2019"": 0.003396, ""2020"": 0.004594, ""2022"": 0.00312}",0.005416,-0.00146829,,not_found
protein g sepharose 4 fast flow,GE Healthcare,Cat#17061805,15,"2019,2020,2022,2024,2025","{""2019"": 2, ""2020"": 4, ""2022"": 3, ""2024"": 4, ""2025"": 2}","{""2019"": 0.003396, ""2020"": 0.006126, ""2022"": 0.00468, ""2024"": 0.009195, ""2025"": 0.003656}",0.005411,0.00026622,,not_found
collagenase p,Roche,Cat# 11213865001,10,"2018,2019,2021,2025,2026","{""2018"": 1, ""2019"": 1, ""2021"": 5, ""2025"": 2, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.001698, ""2021"": 0.006693, ""2025"": 0.003656, ""2026"": 0.012346}",0.005406,0.00085467,,not_found
water,Sigma Aldrich,Cat # W6-4,16,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 1, ""2019"": 2, ""2020"": 1, ""2021"": 2, ""2022"": 1, ""2023"": 1, ""2024"": 1, ""2025"": 4, ""2026"": 2}","{""2017"": 0.006173, ""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.001531, ""2021"": 0.002677, ""2022"": 0.00156, ""2023"": 0.001742, ""2024"": 0.002299, ""2025"": 0.007313, ""2026"": 0.024691}",0.005402,0.00117222,7732-18-5,name
nigericin,Invivogen,Cat# tlrl-nig,21,"2017,2019,2020,2021,2022,2023,2024,2025","{""2017"": 2, ""2019"": 4, ""2020"": 4, ""2021"": 3, ""2022"": 4, ""2023"": 1, ""2024"": 1, ""2025"": 2}","{""2017"": 0.012346, ""2019"": 0.006791, ""2020"": 0.006126, ""2021"": 0.004016, ""2022"": 0.00624, ""2023"": 0.001742, ""2024"": 0.002299, ""2025"": 0.003656}",0.005402,-0.00108372,28380-24-7,name
lipofectamine ™ rnaimax transfection reagent,Thermo Fisher Scientific,13778150,11,"2022,2023,2024,2025","{""2022"": 1, ""2023"": 2, ""2024"": 4, ""2025"": 4}","{""2022"": 0.00156, ""2023"": 0.003484, ""2024"": 0.009195, ""2025"": 0.007313}",0.005388,0.00229687,,not_found
t7 rna polymerase,New England Biolabs,M0251L,17,"2017,2018,2019,2020,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 3, ""2019"": 1, ""2020"": 1, ""2022"": 3, ""2023"": 1, ""2024"": 3, ""2025"": 3, ""2026"": 1}","{""2017"": 0.006173, ""2018"": 0.007916, ""2019"": 0.001698, ""2020"": 0.001531, ""2022"": 0.00468, ""2023"": 0.001742, ""2024"": 0.006897, ""2025"": 0.005484, ""2026"": 0.012346}",0.005385,0.00039198,,not_found
superase-in rnase inhibitor,Invitrogen,AM2696,15,"2020,2021,2023,2024,2025","{""2020"": 2, ""2021"": 1, ""2023"": 5, ""2024"": 2, ""2025"": 5}","{""2020"": 0.003063, ""2021"": 0.001339, ""2023"": 0.008711, ""2024"": 0.004598, ""2025"": 0.009141}",0.00537,0.00126476,,not_found
t7 dna ligase,NEB,Cat# M0318S,6,"2021,2024,2025,2026","{""2021"": 2, ""2024"": 2, ""2025"": 1, ""2026"": 1}","{""2021"": 0.002677, ""2024"": 0.004598, ""2025"": 0.001828, ""2026"": 0.012346}",0.005362,0.00132053,,not_found
hoechst33342,ThermoFisher,C10337 G,7,"2017,2018,2020,2022,2023,2026","{""2017"": 2, ""2018"": 1, ""2020"": 1, ""2022"": 1, ""2023"": 1, ""2026"": 1}","{""2017"": 0.012346, ""2018"": 0.002639, ""2020"": 0.001531, ""2022"": 0.00156, ""2023"": 0.001742, ""2026"": 0.012346}",0.005361,0.00014184,23491-52-3,name
ethylene carbonate,Sigma,Cat# 676802–1L,6,"2022,2025","{""2022"": 1, ""2025"": 5}","{""2022"": 0.00156, ""2025"": 0.009141}",0.00535,,96-49-1,name
ha-ubiquitin,Boston Biochem,U-110H,5,"2017,2018,2024","{""2017"": 1, ""2018"": 2, ""2024"": 2}","{""2017"": 0.006173, ""2018"": 0.005277, ""2024"": 0.004598}",0.005349,-0.00018602,,not_found
cnqx,Tocris,Cat# 0190,24,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 3, ""2019"": 3, ""2020"": 3, ""2021"": 3, ""2022"": 3, ""2023"": 5, ""2024"": 1, ""2025"": 3}","{""2018"": 0.007916, ""2019"": 0.005093, ""2020"": 0.004594, ""2021"": 0.004016, ""2022"": 0.00468, ""2023"": 0.008711, ""2024"": 0.002299, ""2025"": 0.005484}",0.005349,-0.000214,115066-14-3,name
"dulbecco’s modified eagle medium, low glucose",Sigma-Aldrich,Cat#D6046,11,"2021,2022,2023","{""2021"": 6, ""2022"": 4, ""2023"": 1}","{""2021"": 0.008032, ""2022"": 0.00624, ""2023"": 0.001742}",0.005338,-0.00314498,,not_found
methotrexate,Selleck,Cat#S1210,6,"2018,2021,2024,2026","{""2018"": 1, ""2021"": 3, ""2024"": 1, ""2026"": 1}","{""2018"": 0.002639, ""2021"": 0.004016, ""2024"": 0.002299, ""2026"": 0.012346}",0.005325,0.0009275,59-05-2,name
collagenase/dispase,Roche,Cat# 10269638001,19,"2018,2019,2020,2021,2022,2023,2025,2026","{""2018"": 2, ""2019"": 1, ""2020"": 5, ""2021"": 4, ""2022"": 2, ""2023"": 2, ""2025"": 2, ""2026"": 1}","{""2018"": 0.005277, ""2019"": 0.001698, ""2020"": 0.007657, ""2021"": 0.005355, ""2022"": 0.00312, ""2023"": 0.003484, ""2025"": 0.003656, ""2026"": 0.012346}",0.005324,0.00049755,,not_found
collagenase type i,Stem Cell Technologies,SCR103,25,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 1, ""2019"": 2, ""2020"": 4, ""2021"": 5, ""2022"": 3, ""2023"": 2, ""2024"": 2, ""2025"": 6}","{""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.006126, ""2021"": 0.006693, ""2022"": 0.00468, ""2023"": 0.003484, ""2024"": 0.004598, ""2025"": 0.010969}",0.005323,0.00064746,9001-12-1,name
0.25% trypsin-edta,Gibco,Cat#25200056,18,"2020,2021,2022,2023,2024,2025","{""2020"": 1, ""2021"": 1, ""2022"": 5, ""2023"": 3, ""2024"": 3, ""2025"": 5}","{""2020"": 0.001531, ""2021"": 0.001339, ""2022"": 0.0078, ""2023"": 0.005226, ""2024"": 0.006897, ""2025"": 0.009141}",0.005322,0.0014899,,not_found
(z)-4-hydroxytamoxifen,Sigma-Aldrich,Cat# H7904,19,"2018,2019,2020,2021,2022,2023,2025,2026","{""2018"": 1, ""2019"": 6, ""2020"": 1, ""2021"": 3, ""2022"": 3, ""2023"": 2, ""2025"": 2, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.010187, ""2020"": 0.001531, ""2021"": 0.004016, ""2022"": 0.00468, ""2023"": 0.003484, ""2025"": 0.003656, ""2026"": 0.012346}",0.005317,0.00047347,68047-06-3,sigma_sid
hemin,Sigma-Aldrich,Cat#51280,21,"2017,2018,2019,2020,2021,2023,2024,2025","{""2017"": 1, ""2018"": 2, ""2019"": 1, ""2020"": 5, ""2021"": 4, ""2023"": 2, ""2024"": 4, ""2025"": 2}","{""2017"": 0.006173, ""2018"": 0.005277, ""2019"": 0.001698, ""2020"": 0.007657, ""2021"": 0.005355, ""2023"": 0.003484, ""2024"": 0.009195, ""2025"": 0.003656}",0.005312,4.954e-05,16009-13-5,name
human il-2,Novartis,200-02-10UG,18,"2018,2020,2021,2022,2023,2024,2025,2026","{""2018"": 1, ""2020"": 5, ""2021"": 1, ""2022"": 2, ""2023"": 2, ""2024"": 2, ""2025"": 4, ""2026"": 1}","{""2018"": 0.002639, ""2020"": 0.007657, ""2021"": 0.001339, ""2022"": 0.00312, ""2023"": 0.003484, ""2024"": 0.004598, ""2025"": 0.007313, ""2026"": 0.012346}",0.005312,0.00081921,,not_found
prolong ™ gold antifade mountant,Thermo Fisher Scientific,Cat# P36934,9,"2022,2023,2025","{""2022"": 1, ""2023"": 3, ""2025"": 5}","{""2022"": 0.00156, ""2023"": 0.005226, ""2025"": 0.009141}",0.005309,0.00244551,,not_found
igepal,Sigma-Aldrich,Cat# I8896,18,"2018,2019,2020,2022,2023,2025","{""2018"": 2, ""2019"": 2, ""2020"": 4, ""2022"": 3, ""2023"": 5, ""2025"": 2}","{""2018"": 0.005277, ""2019"": 0.003396, ""2020"": 0.006126, ""2022"": 0.00468, ""2023"": 0.008711, ""2025"": 0.003656}",0.005308,7.67e-05,,not_found
recombinant human gm-csf,Peprotech,Cat#300-03,15,"2018,2020,2021,2023,2025","{""2018"": 2, ""2020"": 4, ""2021"": 2, ""2023"": 4, ""2025"": 3}","{""2018"": 0.005277, ""2020"": 0.006126, ""2021"": 0.002677, ""2023"": 0.006969, ""2025"": 0.005484}",0.005307,0.00011319,,not_found
carbonyl cyanide 4-(trifluoromethoxy)phenylhydrazone,Sigma-Aldrich,Cat#C2920,12,"2018,2019,2020,2021,2025,2026","{""2018"": 2, ""2019"": 3, ""2020"": 3, ""2021"": 2, ""2025"": 1, ""2026"": 1}","{""2018"": 0.005277, ""2019"": 0.005093, ""2020"": 0.004594, ""2021"": 0.002677, ""2025"": 0.001828, ""2026"": 0.012346}",0.005303,0.00042095,370-86-5,sigma_sid
"complete™, mini, edta-free protease inhibitor cocktail",Roche,Cat# 11836170001,19,"2019,2020,2021,2022,2023,2024,2025,2026","{""2019"": 1, ""2020"": 4, ""2021"": 1, ""2022"": 4, ""2023"": 5, ""2024"": 1, ""2025"": 2, ""2026"": 1}","{""2019"": 0.001698, ""2020"": 0.006126, ""2021"": 0.001339, ""2022"": 0.00624, ""2023"": 0.008711, ""2024"": 0.002299, ""2025"": 0.003656, ""2026"": 0.012346}",0.005302,0.00080405,,not_found
edta-free protease inhibitor cocktail,Roche,Cat#11873580001,17,"2017,2019,2020,2021,2022,2023,2025","{""2017"": 2, ""2019"": 2, ""2020"": 5, ""2021"": 1, ""2022"": 1, ""2023"": 2, ""2025"": 4}","{""2017"": 0.012346, ""2019"": 0.003396, ""2020"": 0.007657, ""2021"": 0.001339, ""2022"": 0.00156, ""2023"": 0.003484, ""2025"": 0.007313}",0.005299,-0.00062028,,not_found
pierce bca protein assay kit,Thermo Fisher Scientific,Cat#23225,15,"2017,2019,2021,2022,2024,2025","{""2017"": 1, ""2019"": 3, ""2021"": 2, ""2022"": 2, ""2024"": 4, ""2025"": 3}","{""2017"": 0.006173, ""2019"": 0.005093, ""2021"": 0.002677, ""2022"": 0.00312, ""2024"": 0.009195, ""2025"": 0.005484}",0.005291,0.00015849,,not_found
crystal violet solution,Sigma-Aldrich,V5265,17,"2017,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2020"": 3, ""2021"": 4, ""2022"": 4, ""2023"": 2, ""2024"": 1, ""2025"": 1, ""2026"": 1}","{""2017"": 0.006173, ""2020"": 0.004594, ""2021"": 0.005355, ""2022"": 0.00624, ""2023"": 0.003484, ""2024"": 0.002299, ""2025"": 0.001828, ""2026"": 0.012346}",0.00529,0.00011701,548-62-9,sigma_sid
sodium arsenite,Sigma,35000-1L-R,12,"2019,2022,2023,2025","{""2019"": 2, ""2022"": 1, ""2023"": 3, ""2025"": 6}","{""2019"": 0.003396, ""2022"": 0.00156, ""2023"": 0.005226, ""2025"": 0.010969}",0.005288,0.00120847,7784-46-5,name
citric acid,Sigma-Aldrich,Cat# 251275,15,"2019,2021,2022,2023,2024,2025,2026","{""2019"": 3, ""2021"": 2, ""2022"": 3, ""2023"": 2, ""2024"": 3, ""2025"": 1, ""2026"": 1}","{""2019"": 0.005093, ""2021"": 0.002677, ""2022"": 0.00468, ""2023"": 0.003484, ""2024"": 0.006897, ""2025"": 0.001828, ""2026"": 0.012346}",0.005287,0.00064457,77-92-9,sigma_sid
d-biotin,Sigma-Aldrich,Cat# B4639,20,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 3, ""2018"": 1, ""2019"": 1, ""2020"": 2, ""2021"": 3, ""2022"": 3, ""2023"": 4, ""2024"": 1, ""2025"": 2}","{""2017"": 0.018519, ""2018"": 0.002639, ""2019"": 0.001698, ""2020"": 0.003063, ""2021"": 0.004016, ""2022"": 0.00468, ""2023"": 0.006969, ""2024"": 0.002299, ""2025"": 0.003656}",0.005282,-0.00080515,58-85-5,sigma_sid
glutamax ™ supplement,ThermoFisher,Cat# 35050061,9,"2022,2023,2025","{""2022"": 1, ""2023"": 4, ""2025"": 4}","{""2022"": 0.00156, ""2023"": 0.006969, ""2025"": 0.007313}",0.00528,0.00166816,,not_found
gibson assembly ® master mix,New England Biolabs,E2611,5,"2024,2025","{""2024"": 3, ""2025"": 2}","{""2024"": 0.006897, ""2025"": 0.003656}",0.005276,,,not_found
prolong ™ diamond antifade mountant,Invitrogen,Cat# P36965,8,"2019,2023,2024,2025,2026","{""2019"": 1, ""2023"": 1, ""2024"": 3, ""2025"": 2, ""2026"": 1}","{""2019"": 0.001698, ""2023"": 0.001742, ""2024"": 0.006897, ""2025"": 0.003656, ""2026"": 0.012346}",0.005268,0.00116163,,not_found
7-aad viability staining solution,BioLegend,Cat#420403,13,"2017,2019,2020,2021,2024,2025,2026","{""2017"": 1, ""2019"": 5, ""2020"": 2, ""2021"": 2, ""2024"": 1, ""2025"": 1, ""2026"": 1}","{""2017"": 0.006173, ""2019"": 0.008489, ""2020"": 0.003063, ""2021"": 0.002677, ""2024"": 0.002299, ""2025"": 0.001828, ""2026"": 0.012346}",0.005268,7.217e-05,,not_found
recombinant murine il-2,Peprotech,Cat# 212-12,16,"2019,2020,2022,2023,2024","{""2019"": 2, ""2020"": 8, ""2022"": 2, ""2023"": 3, ""2024"": 1}","{""2019"": 0.003396, ""2020"": 0.012251, ""2022"": 0.00312, ""2023"": 0.005226, ""2024"": 0.002299}",0.005258,-0.00083419,,not_found
dynabeads myone streptavidin c1,Invitrogen,Cat# 65001,24,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 2, ""2019"": 2, ""2020"": 5, ""2021"": 2, ""2022"": 3, ""2023"": 5, ""2024"": 3, ""2025"": 1}","{""2017"": 0.006173, ""2018"": 0.005277, ""2019"": 0.003396, ""2020"": 0.007657, ""2021"": 0.002677, ""2022"": 0.00468, ""2023"": 0.008711, ""2024"": 0.006897, ""2025"": 0.001828}",0.005255,-8.111e-05,,not_found
uk-5099,Sigma-Aldrich,Cat#4186,7,"2020,2021,2022,2026","{""2020"": 1, ""2021"": 3, ""2022"": 2, ""2026"": 1}","{""2020"": 0.001531, ""2021"": 0.004016, ""2022"": 0.00312, ""2026"": 0.012346}",0.005253,0.00178557,56396-35-1,name
thrombin protease,Sigma-Aldrich,Cat. #T4648-10KU,6,"2019,2023,2025,2026","{""2019"": 3, ""2023"": 1, ""2025"": 1, ""2026"": 1}","{""2019"": 0.005093, ""2023"": 0.001742, ""2025"": 0.001828, ""2026"": 0.012346}",0.005252,0.00052409,,not_found
roscovitine,Calbiochem,S1153,11,"2017,2018,2019,2020,2021,2022","{""2017"": 3, ""2018"": 1, ""2019"": 1, ""2020"": 2, ""2021"": 3, ""2022"": 1}","{""2017"": 0.018519, ""2018"": 0.002639, ""2019"": 0.001698, ""2020"": 0.003063, ""2021"": 0.004016, ""2022"": 0.00156}",0.005249,-0.00226556,186692-46-6,name
succinate,Sigma-Aldrich,Cat# S2378,17,"2017,2019,2020,2021,2022,2023,2025","{""2017"": 2, ""2019"": 4, ""2020"": 1, ""2021"": 2, ""2022"": 4, ""2023"": 2, ""2025"": 2}","{""2017"": 0.012346, ""2019"": 0.006791, ""2020"": 0.001531, ""2021"": 0.002677, ""2022"": 0.00624, ""2023"": 0.003484, ""2025"": 0.003656}",0.005247,-0.00087291,56-14-4,name
mlui-hf,New England Biolabs,R3198S,10,"2021,2022,2023,2025,2026","{""2021"": 4, ""2022"": 2, ""2023"": 1, ""2025"": 2, ""2026"": 1}","{""2021"": 0.005355, ""2022"": 0.00312, ""2023"": 0.001742, ""2025"": 0.003656, ""2026"": 0.012346}",0.005244,0.00116468,,not_found
iq sybr green supermix,Bio-Rad,1708880,17,"2017,2019,2020,2021,2022,2023,2024","{""2017"": 2, ""2019"": 3, ""2020"": 5, ""2021"": 2, ""2022"": 2, ""2023"": 2, ""2024"": 1}","{""2017"": 0.012346, ""2019"": 0.005093, ""2020"": 0.007657, ""2021"": 0.002677, ""2022"": 0.00312, ""2023"": 0.003484, ""2024"": 0.002299}",0.00524,-0.00129103,,not_found
laemmli sample buffer,Bio-Rad,Cat#161-0737,17,"2018,2019,2021,2022,2023,2024,2025,2026","{""2018"": 1, ""2019"": 2, ""2021"": 1, ""2022"": 2, ""2023"": 2, ""2024"": 2, ""2025"": 6, ""2026"": 1}","{""2018"": 0.002639, ""2019"": 0.003396, ""2021"": 0.001339, ""2022"": 0.00312, ""2023"": 0.003484, ""2024"": 0.004598, ""2025"": 0.010969, ""2026"": 0.012346}",0.005236,0.00112464,,not_found
clozapine-n-oxide,Tocris,Cat# 4936,20,"2018,2019,2021,2022,2023,2024,2025","{""2018"": 1, ""2019"": 2, ""2021"": 2, ""2022"": 6, ""2023"": 3, ""2024"": 5, ""2025"": 1}","{""2018"": 0.002639, ""2019"": 0.003396, ""2021"": 0.002677, ""2022"": 0.00936, ""2023"": 0.005226, ""2024"": 0.011494, ""2025"": 0.001828}",0.005232,0.00052612,34233-69-7,name
sybr green,Invitrogen,Cat#4368708,22,"2018,2019,2020,2021,2022,2023,2025","{""2018"": 2, ""2019"": 3, ""2020"": 5, ""2021"": 6, ""2022"": 1, ""2023"": 2, ""2025"": 3}","{""2018"": 0.005277, ""2019"": 0.005093, ""2020"": 0.007657, ""2021"": 0.008032, ""2022"": 0.00156, ""2023"": 0.003484, ""2025"": 0.005484}",0.005227,-0.00024199,163795-75-3,name
rnaimax,Invitrogen,Cat#13778150,16,"2019,2020,2021,2022,2023,2025,2026","{""2019"": 1, ""2020"": 2, ""2021"": 2, ""2022"": 5, ""2023"": 2, ""2025"": 3, ""2026"": 1}","{""2019"": 0.001698, ""2020"": 0.003063, ""2021"": 0.002677, ""2022"": 0.0078, ""2023"": 0.003484, ""2025"": 0.005484, ""2026"": 0.012346}",0.005222,0.00114081,,not_found
snap-cell tmr-star,New England Biolabs,Cat#S9105S,5,"2017,2018,2022","{""2017"": 1, ""2018"": 3, ""2022"": 1}","{""2017"": 0.006173, ""2018"": 0.007916, ""2022"": 0.00156}",0.005216,-0.00111293,,not_found
"tetramethylrhodamine, ethyl ester, perchlorate",ThermoFisher Scientific,Cat#T669,6,"2021,2023,2025,2026","{""2021"": 1, ""2023"": 2, ""2025"": 2, ""2026"": 1}","{""2021"": 0.001339, ""2023"": 0.003484, ""2025"": 0.003656, ""2026"": 0.012346}",0.005206,0.00176634,,not_found
glucose oxidase,Sigma,Cat# G2133,24,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 3, ""2019"": 4, ""2020"": 3, ""2021"": 5, ""2022"": 1, ""2023"": 2, ""2024"": 1, ""2025"": 4}","{""2017"": 0.006173, ""2018"": 0.007916, ""2019"": 0.006791, ""2020"": 0.004594, ""2021"": 0.006693, ""2022"": 0.00156, ""2023"": 0.003484, ""2024"": 0.002299, ""2025"": 0.007313}",0.005203,-0.00036565,492-61-5,name
"5,6-dichlorobenzimidazole 1-β-d-ribofuranoside",Sigma-Aldrich,Cat#D1916,10,"2017,2018,2019,2021,2023,2025","{""2017"": 3, ""2018"": 1, ""2019"": 3, ""2021"": 1, ""2023"": 1, ""2025"": 1}","{""2017"": 0.018519, ""2018"": 0.002639, ""2019"": 0.005093, ""2021"": 0.001339, ""2023"": 0.001742, ""2025"": 0.001828}",0.005193,-0.00138526,53-85-0,sigma_sid
q5 high-fidelity dna polymerase,New England Biolabs,Cat# M0491L,25,"2018,2019,2020,2021,2022,2023,2024,2025","{""2018"": 1, ""2019"": 2, ""2020"": 5, ""2021"": 6, ""2022"": 4, ""2023"": 2, ""2024"": 2, ""2025"": 3}","{""2018"": 0.002639, ""2019"": 0.003396, ""2020"": 0.007657, ""2021"": 0.008032, ""2022"": 0.00624, ""2023"": 0.003484, ""2024"": 0.004598, ""2025"": 0.005484}",0.005191,0.00013836,,not_found
albumin from chicken egg white,Sigma-Aldrich,A5503,11,"2018,2021,2022,2025","{""2018"": 3, ""2021"": 2, ""2022"": 3, ""2025"": 3}","{""2018"": 0.007916, ""2021"": 0.002677, ""2022"": 0.00468, ""2025"": 0.005484}",0.005189,-0.0003003,,name
tryptone,Sigma,Cat# 211705,13,"2018,2019,2021,2023,2024,2025,2026","{""2018"": 2, ""2019"": 2, ""2021"": 1, ""2023"": 3, ""2024"": 3, ""2025"": 1, ""2026"": 1}","{""2018"": 0.005277, ""2019"": 0.003396, ""2021"": 0.001339, ""2023"": 0.005226, ""2024"": 0.006897, ""2025"": 0.001828, ""2026"": 0.012346}",0.005187,0.0005571,79-06-1,name
cas9 protein,IDT,M0646T,9,"2017,2021,2023,2024,2025,2026","{""2017"": 1, ""2021"": 2, ""2023"": 2, ""2024"": 2, ""2025"": 1, ""2026"": 1}","{""2017"": 0.006173, ""2021"": 0.002677, ""2023"": 0.003484, ""2024"": 0.004598, ""2025"": 0.001828, ""2026"": 0.012346}",0.005184,0.00024877,,not_found
phos-tag acrylamide,NARD Institute,Cat#AAL-107,7,"2017,2019,2020,2021,2025,2026","{""2017"": 2, ""2019"": 1, ""2020"": 1, ""2021"": 1, ""2025"": 1, ""2026"": 1}","{""2017"": 0.012346, ""2019"": 0.001698, ""2020"": 0.001531, ""2021"": 0.001339, ""2025"": 0.001828, ""2026"": 0.012346}",0.005181,7.123e-05,,not_found
mitotracker green fm,Invitrogen,M7514,11,"2018,2020,2021,2022,2023,2026","{""2018"": 3, ""2020"": 3, ""2021"": 1, ""2022"": 2, ""2023"": 1, ""2026"": 1}","{""2018"": 0.007916, ""2020"": 0.004594, ""2021"": 0.001339, ""2022"": 0.00312, ""2023"": 0.001742, ""2026"": 0.012346}",0.005176,0.00051663,201860-17-5,name
cell recovery solution,Corning,Cat# 354253,13,"2021,2022,2023,2025","{""2021"": 5, ""2022"": 2, ""2023"": 1, ""2025"": 5}","{""2021"": 0.006693, ""2022"": 0.00312, ""2023"": 0.001742, ""2025"": 0.009141}",0.005174,0.00079413,,not_found
l-aspartic acid,Sigma-Aldrich,Cat# A9256,10,"2018,2019,2022,2024,2025,2026","{""2018"": 3, ""2019"": 3, ""2022"": 1, ""2024"": 1, ""2025"": 1, ""2026"": 1}","{""2018"": 0.007916, ""2019"": 0.005093, ""2022"": 0.00156, ""2024"": 0.002299, ""2025"": 0.001828, ""2026"": 0.012346}",0.005174,4.079e-05,56-84-8,sigma_sid
"complete™, edta-free protease inhibitor cocktail",Roche,Cat# 11873580001,12,"2020,2022,2023,2024,2025,2026","{""2020"": 1, ""2022"": 5, ""2023"": 3, ""2024"": 1, ""2025"": 1, ""2026"": 1}","{""2020"": 0.001531, ""2022"": 0.0078, ""2023"": 0.005226, ""2024"": 0.002299, ""2025"": 0.001828, ""2026"": 0.012346}",0.005172,0.00086803,,not_found
naloxone,Sigma-Aldrich,Cat# 0599,6,"2017,2018,2019,2021","{""2017"": 2, ""2018"": 2, ""2019"": 1, ""2021"": 1}","{""2017"": 0.012346, ""2018"": 0.005277, ""2019"": 0.001698, ""2021"": 0.001339}",0.005165,-0.00252871,465-65-6,name
d-sucrose,Fisher Scientific,BP220-212,8,"2023,2024,2025","{""2023"": 2, ""2024"": 2, ""2025"": 4}","{""2023"": 0.003484, ""2024"": 0.004598, ""2025"": 0.007313}",0.005132,0.00191415,57-50-1,name
ldn-193189,Stemgent,04-0074,24,"2017,2018,2019,2020,2021,2022,2023,2024,2025","{""2017"": 1, ""2018"": 2, ""2019"": 3, ""2020"": 1, ""2021"": 4, ""2022"": 5, ""2023"": 2, ""2024"": 1, ""2025"": 5}","{""2017"": 0.006173, ""2018"": 0.005277, ""2019"": 0.005093, ""2020"": 0.001531, ""2021"": 0.005355, ""2022"": 0.0078, ""2023"": 0.003484, ""2024"": 0.002299, ""2025"": 0.009141}",0.005128,9.98e-05,1062368-24-4,name
